pet_id,species,age,weight_kg,condition,treatment,visit_date,cost_gbp
P0069,Bird,6.0,1.1,Gastroenteritis,Surgery,2023-02-18,15.39
P0070,Cat,0.0,2.7,Tumor,Dental Cleaning,2023-03-12,96.92
P0071,Dog,18.0,5.8,Allergy,Therapy,2023-05-06,25.12
P0072,Bird,,1.4,Tumor,Dental Cleaning,2023-10-26,62.99
P0073,Dog,,11.4,,,2023-05-22,
P0074,Dog,5.0,15.6,Dental Disease,Dental Cleaning,2023-02-04,253.16
P0075,Cat,7.0,,Obesity,Dental Cleaning,2023-10-07,92.7
P0076,Rabbit,3.0,9.4,Allergy,Dental Cleaning,2023-09-16,141.29
P0077,Rabbit,2.0,7.5,Arthritis,Surgery,2023-11-14,404.52
P0078,Rabbit,9.0,10.6,Arthritis,Medication,2023-06-25,357.2
P0079,Cat,,,,Dental Cleaning,2023-03-24,90.1
P0080,Bird,8.0,1.4,Tumor,Diet Consultation,2023-09-01,113.26
P0081,Dog,0.0,2.6,Diabetes,Check-up,2023-09-02,148.53
P0082,Rabbit,7.0,5.5,Gastroenteritis,,2023-03-14,286.68
P0083,Cat,4.0,,Arthritis,Dental Cleaning,2023-06-26,476.56
P0084,Dog,15.0,9.6,Ear Infection,Vaccination,2023-11-08,160.49
P0085,Dog,13.0,10.6,Ear Infection,,2023-07-20,364.52
P0086,Cat,4.0,17.1,Allergy,Check-up,2023-03-14,14.52
P0087,Dog,1.0,15.0,Dental Disease,Therapy,2023-07-26,313.39
P0088,Cat,12.0,2.4,Obesity,Check-up,2023-12-04,209.13
P0089,Bird,19.0,1.2,Arthritis,Physiotherapy,2023-04-07,437.9
P0090,Bird,18.0,1.7,Ear Infection,Dental Cleaning,2023-04-08,14.33
P0091,Dog,0.0,17.2,,Vaccination,2023-07-11,106.6
P0092,Rabbit,7.0,16.4,Diabetes,Dental Cleaning,2023-06-21,52.82
P0093,Bird,18.0,0.6,,,2023-06-01,253.55
P0094,Dog,3.0,9.5,Obesity,Check-up,2023-10-09,267.3
P0095,Dog,4.0,14.4,Diabetes,Diet Consultation,2023-06-24,312.09
P0096,Rabbit,15.0,8.9,Skin Infection,,2023-02-13,144.84
P0097,Cat,,,Obesity,Medication,2023-12-14,432.93
P0098,Dog,8.0,11.5,Tumor,,2023-11-24,294.93
P0099,Cat,,,Ear Infection,Diet Consultation,2023-02-22,111.55
P0100,Rabbit,8.0,1.6,Gastroenteritis,Therapy,2023-11-28,138.31
P0101,Dog,19.0,22.9,,Dental Cleaning,2023-09-10,486.85
P0102,Bird,2.0,1.2,Ear Infection,Diet Consultation,2023-12-10,359.78
P0103,Cat,,10.2,Allergy,Diet Consultation,2023-11-13,300.06
P0104,Cat,12.0,6.6,Gastroenteritis,Dental Cleaning,2023-07-18,451.29
P0105,Dog,14.0,18.3,Obesity,Dental Cleaning,2023-04-14,115.44
P0106,Rabbit,5.0,6.0,Hip Dysplasia,Physiotherapy,2023-08-22,123.96
P0107,Cat,17.0,,Tumor,Physiotherapy,2023-12-06,211.85
P0108,Dog,12.0,24.2,Obesity,,2023-11-21,128.39
P0109,Rabbit,12.0,,Diabetes,Vaccination,2023-11-10,404.02
P0110,Cat,11.0,,Allergy,Check-up,2023-01-02,435.5
P0111,Cat,6.0,,Hip Dysplasia,Surgery,2023-08-14,136.67
P0112,Cat,19.0,14.2,,Diet Consultation,2023-08-13,315.63
P0113,Cat,16.0,4.5,Dental Disease,Medication,2023-02-25,73.38
P0114,Bird,11.0,2.0,Allergy,Check-up,2023-12-17,
P0115,Bird,,2.0,Arthritis,,2023-04-28,289.86
P0116,Dog,2.0,11.2,Hip Dysplasia,Check-up,2023-08-22,232.58
P0117,Rabbit,16.0,0.5,Hip Dysplasia,,2023-07-27,479.0
P0118,Bird,,0.8,Dental Disease,Physiotherapy,2023-08-09,255.04
P0119,Cat,15.0,5.7,,Dental Cleaning,2023-09-16,183.36
P0120,Cat,7.0,11.8,Obesity,Physiotherapy,2023-02-23,269.41
P0121,Rabbit,17.0,,Allergy,Dental Cleaning,2023-06-11,80.26
P0122,Dog,,4.3,Dental Disease,Check-up,2023-04-13,459.16
P0123,Cat,12.0,,,Vaccination,2023-02-14,1.97
P0124,Bird,17.0,1.1,Ear Infection,,2023-08-14,474.72
P0125,Dog,0.0,14.1,Allergy,Diet Consultation,2023-07-25,429.07
P0126,Dog,10.0,1.3,Gastroenteritis,Diet Consultation,2023-08-01,403.08
P0127,Rabbit,16.0,3.1,Obesity,Diet Consultation,2023-07-18,385.67
P0128,Cat,0.0,6.7,Hip Dysplasia,Vaccination,2023-05-14,486.73
P0129,Bird,2.0,1.2,Arthritis,Diet Consultation,2023-06-22,132.49
P0130,Bird,13.0,0.6,,Check-up,2023-08-05,293.43
P0131,Dog,3.0,20.7,Skin Infection,Medication,2023-02-21,31.3
P0132,Bird,7.0,,Dental Disease,Physiotherapy,2023-03-02,321.73
P0133,Rabbit,17.0,1.9,Skin Infection,Therapy,2023-04-15,225.5
P0134,Rabbit,16.0,13.2,Ear Infection,Diet Consultation,2023-05-25,296.81
P0135,Bird,18.0,1.8,Obesity,Surgery,2023-08-01,405.29
P0136,Dog,1.0,23.5,Ear Infection,Vaccination,2023-11-03,63.81
P0137,Dog,18.0,12.8,Arthritis,Vaccination,2023-04-27,307.63
P0138,Dog,14.0,28.0,Gastroenteritis,Check-up,2023-04-05,7.02
P0139,Bird,4.0,1.6,,Surgery,2023-10-07,381.82
P0140,Bird,19.0,1.0,,Dental Cleaning,2023-06-06,178.39
P0141,Dog,,5.8,Dental Disease,Dental Cleaning,2023-02-19,109.66
P0142,Dog,10.0,17.9,Obesity,Diet Consultation,2023-07-23,59.02
P0143,Cat,2.0,4.3,Diabetes,Vaccination,2023-02-23,361.05
P0144,Rabbit,18.0,,,Surgery,2023-10-26,116.15
P0145,Dog,0.0,,Ear Infection,,2023-07-22,276.94
P0146,Rabbit,16.0,19.7,Diabetes,,2023-11-11,
P0147,Dog,14.0,9.4,Skin Infection,Physiotherapy,2023-02-14,232.1
P0148,Rabbit,15.0,3.1,,Physiotherapy,2023-12-05,166.85
P0149,Bird,16.0,1.2,Dental Disease,,2023-11-09,203.56
P0150,Bird,13.0,1.3,Hip Dysplasia,Diet Consultation,2023-12-19,247.35
P0151,Rabbit,1.0,10.8,Ear Infection,Vaccination,2023-02-09,51.81
P0152,Bird,13.0,1.5,Allergy,Physiotherapy,2023-10-20,24.53
P0153,Bird,,0.8,Ear Infection,Medication,2023-08-28,
P0154,Rabbit,16.0,,Dental Disease,Physiotherapy,2023-04-12,37.77
P0155,Rabbit,16.0,1.2,Ear Infection,Dental Cleaning,2023-10-23,116.6
P0156,Rabbit,8.0,,Tumor,Medication,2023-09-07,199.51
P0157,Dog,1.0,31.7,Allergy,Diet Consultation,2023-08-18,408.64
P0158,Cat,9.0,,,Physiotherapy,2023-11-23,7.42
P0159,Bird,1.0,0.6,Hip Dysplasia,Medication,2023-02-10,111.87
P0160,Cat,,3.8,Skin Infection,Vaccination,2023-05-22,102.4
P0161,Rabbit,,,Hip Dysplasia,,2023-09-12,
P0162,Bird,,0.6,,,2023-06-12,221.78
P0163,Bird,18.0,1.7,Obesity,Dental Cleaning,2023-05-08,242.9
P0164,Dog,12.0,29.3,,Vaccination,2023-06-04,100.61
P0165,Cat,18.0,8.6,Allergy,Vaccination,2023-12-16,296.09
P0166,Rabbit,0.0,,,,2023-10-10,28.64
P0167,Dog,10.0,21.4,Allergy,Dental Cleaning,2023-04-12,170.31
P0168,Cat,5.0,7.8,Obesity,Medication,2023-12-18,70.94
P0169,Cat,11.0,0.9,Obesity,Medication,2023-01-18,293.99
P0170,Rabbit,4.0,,,Check-up,2023-11-28,558.48
P0171,Bird,16.0,1.7,Diabetes,Medication,2023-10-10,109.34
P0172,Bird,17.0,,Hip Dysplasia,Physiotherapy,2023-06-06,225.46
P0173,Dog,2.0,15.7,Obesity,Physiotherapy,2023-02-27,
P0174,Dog,7.0,17.8,Skin Infection,Physiotherapy,2023-02-19,279.79
P0175,Dog,2.0,20.6,Dental Disease,Check-up,2023-10-10,259.17
P0176,Dog,3.0,11.6,Allergy,Surgery,2023-09-25,323.04
P0177,Bird,7.0,0.9,Gastroenteritis,Vaccination,2023-09-13,56.09
P0178,Bird,18.0,1.3,Hip Dysplasia,Dental Cleaning,2023-10-14,148.95
P0179,Rabbit,16.0,16.1,Gastroenteritis,Medication,2023-10-24,164.12
P0180,Dog,7.0,21.6,Allergy,Vaccination,2023-05-22,236.3
P0181,Dog,2.0,2.8,Dental Disease,Vaccination,2023-03-18,21.79
P0182,Dog,14.0,24.2,Dental Disease,Medication,2023-07-15,198.09
P0183,Bird,3.0,2.0,Obesity,Medication,2023-04-10,358.16
P0184,Rabbit,4.0,,,Physiotherapy,2023-02-22,258.18
P0185,Cat,1.0,7.8,Obesity,Vaccination,2023-07-04,250.05
P0186,Cat,5.0,,,Check-up,2023-05-27,301.37
P0187,Cat,19.0,14.3,Diabetes,Medication,2023-03-26,133.3
P0188,Rabbit,14.0,15.3,Gastroenteritis,Dental Cleaning,2023-08-04,
P0189,Bird,18.0,1.4,,Dental Cleaning,2023-12-13,44.83
P0190,Rabbit,10.0,6.2,Tumor,,2023-08-15,183.2
P0191,Dog,,17.6,Gastroenteritis,Medication,2023-07-24,298.15
P0192,Rabbit,12.0,3.6,Gastroenteritis,Dental Cleaning,2023-01-03,330.18
P0193,Cat,11.0,,,Medication,2023-11-27,467.32
P0194,Rabbit,7.0,8.7,Gastroenteritis,Medication,2023-03-16,380.75
P0195,Bird,8.0,0.9,Obesity,Check-up,2023-10-14,300.86
P0196,Bird,7.0,1.7,Diabetes,Physiotherapy,2023-06-14,105.89
P0197,Rabbit,,,Ear Infection,Surgery,2023-03-11,580.8
P0198,Bird,8.0,1.5,,Physiotherapy,2023-05-22,278.59
P0199,Bird,,1.2,Tumor,Medication,2023-08-03,168.5
P0200,Rabbit,5.0,,Obesity,Therapy,2023-02-25,6.51
P0201,Bird,16.0,1.2,Tumor,Medication,2023-11-28,
P0202,Bird,18.0,0.6,Skin Infection,Medication,2023-04-17,
P0203,Rabbit,0.0,6.2,Gastroenteritis,Physiotherapy,2023-11-15,362.07
P0204,Dog,17.0,,Allergy,Dental Cleaning,2023-09-05,47.42
P0205,Rabbit,16.0,8.1,Hip Dysplasia,Physiotherapy,2023-02-01,366.1
P0206,Cat,7.0,5.4,,Check-up,2023-05-18,586.0
P0207,Dog,,15.5,Tumor,Diet Consultation,2023-02-08,402.46
P0208,Dog,16.0,12.4,Hip Dysplasia,Surgery,2023-11-27,195.09
P0209,Cat,17.0,,Hip Dysplasia,Dental Cleaning,2023-09-23,356.0
P0210,Rabbit,,,Skin Infection,Physiotherapy,2023-08-08,111.76
P0211,Bird,3.0,,Tumor,Check-up,2023-07-07,13.9
P0212,Cat,6.0,,Diabetes,Dental Cleaning,2023-07-11,338.25
P0213,Rabbit,1.0,1.1,Arthritis,Dental Cleaning,2023-12-10,189.56
P0214,Bird,17.0,1.7,Dental Disease,Physiotherapy,2023-09-16,383.33
P0215,Rabbit,,,Ear Infection,,2023-09-13,214.81
P0216,Bird,0.0,1.2,Ear Infection,Vaccination,2023-12-08,180.45
P0217,Bird,2.0,0.6,Allergy,Diet Consultation,2023-01-11,306.64
P0218,Bird,3.0,1.9,,Diet Consultation,2023-07-22,266.64
P0219,Cat,13.0,8.7,Hip Dysplasia,Medication,2023-03-17,
P0220,Rabbit,6.0,9.5,Diabetes,Physiotherapy,2023-02-17,270.02
P0221,Bird,18.0,1.2,Arthritis,Check-up,2023-07-28,338.6
P0222,Cat,19.0,2.5,Diabetes,Physiotherapy,2023-05-11,350.77
P0223,Bird,,0.6,,Surgery,2023-06-28,123.88
P0224,Bird,5.0,1.6,Ear Infection,Physiotherapy,2023-09-02,342.46
P0225,Dog,,12.1,Allergy,Dental Cleaning,2023-04-24,146.75
P0226,Dog,13.0,17.1,Skin Infection,Surgery,2023-11-23,0.14
P0227,Dog,16.0,14.0,Hip Dysplasia,Check-up,2023-12-10,246.17
P0228,Dog,6.0,1.3,Arthritis,Therapy,2023-01-10,292.61
P0229,Rabbit,12.0,,Ear Infection,Diet Consultation,2023-03-08,365.45
P0230,Bird,,1.6,Gastroenteritis,Check-up,2023-03-06,372.71
P0231,Dog,1.0,31.0,Gastroenteritis,Diet Consultation,2023-10-22,307.64
P0232,Cat,,,Hip Dysplasia,Check-up,2023-04-15,63.55
P0233,Rabbit,1.0,17.3,Hip Dysplasia,Dental Cleaning,2023-11-01,352.16
P0234,Bird,12.0,1.7,Obesity,,2023-03-03,410.58
P0235,Bird,1.0,,Ear Infection,Dental Cleaning,2023-11-14,125.67
P0236,Rabbit,18.0,5.2,Hip Dysplasia,Dental Cleaning,2023-04-13,166.62
P0237,Bird,10.0,0.6,Diabetes,Vaccination,2023-07-19,401.2
P0238,Rabbit,2.0,,Gastroenteritis,Dental Cleaning,2023-12-10,180.85
P0239,Dog,,19.4,,Diet Consultation,2023-05-01,
P0240,Dog,19.0,20.6,Gastroenteritis,Physiotherapy,2023-05-25,242.53
P0241,Cat,12.0,1.8,Gastroenteritis,Therapy,2023-04-21,256.19
P0242,Cat,8.0,,Gastroenteritis,Dental Cleaning,2023-11-25,226.98
P0243,Cat,10.0,1.3,,Surgery,2023-11-21,58.3
P0244,Dog,17.0,33.4,Obesity,Physiotherapy,2023-01-19,294.86
P0245,Rabbit,1.0,11.8,,Check-up,2023-02-10,153.83
P0246,Rabbit,16.0,,,Diet Consultation,2023-03-07,2.1
P0247,Cat,18.0,2.2,Tumor,Therapy,2023-09-17,322.5
P0248,Rabbit,,8.9,Dental Disease,Dental Cleaning,2023-08-26,205.96
P0249,Rabbit,11.0,4.1,,Therapy,2023-02-15,264.44
P0250,Dog,,16.7,Dental Disease,Vaccination,2023-11-24,92.87
P0251,Bird,6.0,0.7,Tumor,Therapy,2023-02-26,158.08
P0252,Bird,17.0,0.9,Arthritis,Dental Cleaning,2023-09-04,298.53
P0253,Bird,2.0,0.7,Ear Infection,Dental Cleaning,2023-10-13,318.75
P0254,Rabbit,16.0,,Diabetes,Vaccination,2023-08-01,412.11
P0255,Rabbit,12.0,5.8,Gastroenteritis,Vaccination,2023-11-03,128.19
P0256,Bird,,0.9,,Dental Cleaning,2023-11-14,400.08
P0257,Dog,,17.5,Dental Disease,Medication,2023-01-10,354.78
P0258,Bird,9.0,1.8,Diabetes,Surgery,2023-04-18,22.83
P0259,Cat,2.0,4.7,Skin Infection,Physiotherapy,2023-06-22,359.82
P0260,Bird,2.0,,Gastroenteritis,Check-up,2023-07-21,589.66
P0261,Dog,9.0,9.8,Hip Dysplasia,Diet Consultation,2023-05-02,160.05
P0262,Rabbit,0.0,,Allergy,Physiotherapy,2023-08-08,136.97
P0263,Rabbit,17.0,1.7,Diabetes,Therapy,2023-09-21,
P0264,Rabbit,0.0,,Arthritis,Diet Consultation,2023-05-07,163.24
P0265,Dog,4.0,7.9,Hip Dysplasia,Surgery,2023-11-07,347.65
P0266,Dog,10.0,13.3,Arthritis,Therapy,2023-04-05,185.44
P0267,Cat,,4.4,Diabetes,,2023-04-19,243.38
P0268,Cat,1.0,23.6,Allergy,Therapy,2023-03-26,137.62
P0269,Dog,5.0,14.2,Obesity,Check-up,2023-03-18,277.29
P0270,Rabbit,8.0,13.6,Dental Disease,Surgery,2023-11-28,143.99
P0271,Dog,16.0,5.6,Dental Disease,Medication,2023-06-26,251.54
P0272,Cat,14.0,1.0,Gastroenteritis,Therapy,2023-01-06,180.04
P0273,Rabbit,8.0,13.0,Arthritis,Check-up,2023-12-14,189.65
P0274,Dog,10.0,13.5,,Surgery,2023-08-15,173.46
P0275,Rabbit,7.0,,Tumor,Surgery,2023-08-17,164.68
P0276,Cat,4.0,4.8,Gastroenteritis,Medication,2023-12-26,304.21
P0277,Rabbit,16.0,,Hip Dysplasia,Medication,2023-01-16,336.12
P0278,Bird,7.0,1.4,Skin Infection,Surgery,2023-08-23,205.38
P0279,Bird,12.0,1.5,Diabetes,Surgery,2023-06-20,365.25
P0280,Cat,15.0,4.5,Diabetes,Check-up,2023-05-20,323.07
P0281,Rabbit,9.0,8.1,Skin Infection,,2023-05-15,247.67
P0282,Bird,4.0,1.8,Diabetes,Surgery,2023-11-21,105.57
P0283,Cat,18.0,,Skin Infection,Physiotherapy,2023-04-14,295.83
P0284,Rabbit,17.0,7.3,Hip Dysplasia,Diet Consultation,2023-07-24,260.06
P0285,Dog,6.0,20.2,Ear Infection,Diet Consultation,2023-06-22,83.88
P0286,Rabbit,1.0,9.2,Ear Infection,Check-up,2023-11-16,524.49
P0287,Dog,5.0,24.5,Diabetes,Surgery,2023-02-14,164.55
P0288,Dog,14.0,16.4,,Therapy,2023-03-18,261.28
P0289,Dog,16.0,21.0,Gastroenteritis,,2023-09-11,346.53
P0290,Dog,,11.2,Skin Infection,Therapy,2023-11-25,219.17
P0291,Bird,14.0,1.9,,Medication,2023-05-20,116.16
P0292,Rabbit,6.0,7.0,Ear Infection,Surgery,2023-10-17,370.49
P0293,Cat,,,Dental Disease,Physiotherapy,2023-04-28,55.15
P0294,Dog,16.0,11.7,Ear Infection,,2023-06-04,394.8
P0295,Rabbit,1.0,4.9,Gastroenteritis,Vaccination,2023-07-28,91.48
P0296,Dog,2.0,20.8,Gastroenteritis,Dental Cleaning,2023-01-06,297.53
P0297,Rabbit,19.0,3.2,,Dental Cleaning,2023-06-12,28.83
P0298,Dog,0.0,9.5,Dental Disease,Check-up,2023-10-22,374.52
P0299,Bird,2.0,,Diabetes,Check-up,2023-12-21,60.6
P0300,Dog,11.0,5.7,Diabetes,,2023-04-13,584.61
P0301,Bird,13.0,0.5,Hip Dysplasia,Therapy,2023-03-12,
P0302,Rabbit,11.0,,,Therapy,2023-10-20,387.38
P0303,Dog,13.0,18.9,Arthritis,Check-up,2023-03-25,445.72
P0304,Dog,8.0,27.0,,Surgery,2023-05-15,193.98
P0305,Bird,,0.7,Hip Dysplasia,Physiotherapy,2023-07-09,14.62
P0306,Cat,7.0,,Tumor,Surgery,2023-06-14,
P0307,Dog,17.0,7.5,Obesity,Physiotherapy,2023-09-22,442.82
P0308,Rabbit,5.0,12.2,Arthritis,Vaccination,2023-07-20,35.96
P0309,Dog,5.0,17.1,Arthritis,Vaccination,2023-05-07,270.37
P0310,Cat,8.0,4.0,Obesity,Dental Cleaning,2023-06-04,26.25
P0311,Dog,19.0,24.5,Hip Dysplasia,Diet Consultation,2023-03-05,100.89
P0312,Bird,0.0,1.1,Tumor,Vaccination,2023-09-18,
P0313,Rabbit,19.0,,Diabetes,Diet Consultation,2023-12-02,7.81
P0314,Bird,13.0,1.4,Arthritis,Physiotherapy,2023-02-28,33.9
P0315,Rabbit,9.0,15.2,Gastroenteritis,Diet Consultation,2023-10-13,
P0316,Bird,5.0,1.3,Obesity,Surgery,2023-07-01,30.06
P0317,Rabbit,7.0,10.9,Dental Disease,Physiotherapy,2023-12-12,334.28
P0318,Dog,6.0,20.1,Skin Infection,Surgery,2023-04-14,297.71
P0319,Bird,,1.0,Tumor,Surgery,2023-07-28,496.48
P0320,Rabbit,8.0,2.2,,Therapy,2023-04-11,17.82
P0321,Cat,11.0,,Diabetes,,2023-11-04,127.42
P0322,Cat,18.0,8.2,Ear Infection,Therapy,2023-12-27,113.94
P0323,Cat,18.0,,Allergy,Surgery,2023-03-09,379.77
P0324,Cat,2.0,2.6,Dental Disease,Check-up,2023-11-03,86.06
P0325,Cat,,12.7,,Physiotherapy,2023-08-25,183.39
P0326,Bird,19.0,1.3,,Therapy,2023-11-11,331.07
P0327,Cat,17.0,10.1,Hip Dysplasia,Surgery,2023-08-15,233.67
P0328,Rabbit,,12.4,Obesity,Medication,2023-06-17,435.31
P0329,Dog,3.0,2.7,Obesity,Physiotherapy,2023-08-02,44.94
P0330,Dog,,10.4,Ear Infection,Dental Cleaning,2023-02-21,8.42
P0331,Dog,,2.6,Gastroenteritis,,2023-07-15,106.17
P0332,Dog,15.0,18.2,Hip Dysplasia,Vaccination,2023-06-20,448.99
P0333,Bird,1.0,,Tumor,Check-up,2023-01-15,391.35
P0334,Dog,12.0,7.8,Ear Infection,Surgery,2023-09-21,179.07
P0335,Cat,13.0,,Arthritis,Vaccination,2023-12-15,235.28
P0336,Bird,5.0,1.3,Tumor,,2023-10-06,68.91
P0337,Rabbit,4.0,,Ear Infection,Dental Cleaning,2023-07-14,366.16
P0338,Rabbit,12.0,,,Medication,2023-11-21,84.96
P0339,Rabbit,,,Diabetes,Therapy,2023-02-18,211.52
P0340,Bird,8.0,0.9,Obesity,Dental Cleaning,2023-12-28,7.55
P0341,Cat,10.0,,Ear Infection,Surgery,2023-10-22,26.89
P0342,Cat,14.0,1.4,Ear Infection,Dental Cleaning,2023-11-23,511.51
P0343,Bird,11.0,0.9,Dental Disease,Surgery,2023-05-18,226.09
P0344,Bird,19.0,0.6,,Therapy,2023-03-22,363.42
P0345,Dog,4.0,14.0,,Diet Consultation,2023-09-12,44.76
P0346,Dog,4.0,16.5,Ear Infection,Dental Cleaning,2023-03-07,65.82
P0347,Rabbit,19.0,11.3,Hip Dysplasia,Vaccination,2023-04-05,251.97
P0348,Cat,14.0,,Diabetes,Dental Cleaning,2023-02-17,243.95
P0349,Dog,,7.5,,Therapy,2023-10-05,296.64
P0350,Bird,17.0,0.5,Dental Disease,Check-up,2023-03-27,91.88
P0351,Cat,14.0,7.9,,Physiotherapy,2023-01-14,282.08
P0352,Rabbit,10.0,,,Vaccination,2023-08-20,195.37
P0353,Rabbit,7.0,20.0,,Physiotherapy,2023-04-18,256.01
P0354,Cat,13.0,8.1,Obesity,Physiotherapy,2023-04-12,227.1
P0355,Bird,13.0,0.8,Hip Dysplasia,Dental Cleaning,2023-07-17,312.76
P0356,Bird,1.0,2.0,Dental Disease,Vaccination,2023-10-05,350.77
P0357,Rabbit,12.0,2.0,Arthritis,Physiotherapy,2023-06-18,109.35
P0358,Dog,5.0,12.4,,,2023-02-10,378.42
P0359,Dog,17.0,5.2,Dental Disease,Dental Cleaning,2023-08-17,145.37
P0360,Cat,0.0,10.0,Skin Infection,Surgery,2023-04-27,
P0361,Bird,14.0,1.3,Ear Infection,Medication,2023-07-02,45.7
P0362,Bird,14.0,1.4,Tumor,Therapy,2023-04-13,51.29
P0363,Dog,16.0,,Ear Infection,Vaccination,2023-01-11,154.55
P0364,Dog,7.0,14.7,,Therapy,2023-03-05,363.45
P0365,Dog,2.0,27.3,Obesity,Physiotherapy,2023-12-27,293.36
P0366,Cat,,4.5,,Physiotherapy,2023-08-20,213.44
